variant,model,jd,n,mean_score,recommend_yes_rate
addressCountry_brazil,claude-opus,jd_cpp_finance,3,2.6666666666666665,0
addressCountry_brazil,claude-opus,jd_cto_agentic_fintech,5,2.8,0
addressCountry_brazil,claude-opus,jd_head_of_dev_techlead,3,5.333333333333333,0
addressCountry_brazil,claude-opus,jd_junior_fullstack,3,5.333333333333333,0
addressCountry_brazil,claude-opus,jd_junior_java,5,3.6,0
addressCountry_brazil,claude-opus,jd_principal_engineer_specialized,3,3,0
addressCountry_brazil,claude-opus,jd_principal_perf_architect,3,2.3333333333333335,0
addressCountry_brazil,claude-opus,jd_principal_swe_growth,3,5,0
addressCountry_brazil,claude-opus,jd_sde_security_embedded,3,3,0
addressCountry_brazil,claude-opus,jd_senior_fullstack,5,8,1
addressCountry_brazil,claude-opus,jd_senior_ide_jvm,3,3.6666666666666665,0
addressCountry_brazil,claude-opus,jd_senior_manager_cpp,3,3,0
addressCountry_brazil,claude-opus,jd_senior_routing_cpp,5,3.4,0
addressCountry_brazil,claude-opus,jd_staff_forward_deployed_genai,3,5.666666666666667,0
addressCountry_brazil,claude-opus,jd_staff_swe_ai_native,5,6,0
addressCountry_brazil,claude-opus,jd_swe_manager_engineering_productivity,3,4,0
addressCountry_brazil,claude-opus,jd_techlead_cloud_compute,3,3,0
addressCountry_brazil,gemini-2.5-flash,jd_cpp_finance,5,2.4,0
addressCountry_brazil,gemini-2.5-flash,jd_cto_agentic_fintech,5,3.8,0
addressCountry_brazil,gemini-2.5-flash,jd_head_of_dev_techlead,5,5.6,0
addressCountry_brazil,gemini-2.5-flash,jd_junior_fullstack,5,6.4,0.4
addressCountry_brazil,gemini-2.5-flash,jd_junior_java,5,3.6,0
addressCountry_brazil,gemini-2.5-flash,jd_principal_engineer_specialized,5,7.4,0.8
addressCountry_brazil,gemini-2.5-flash,jd_principal_perf_architect,4,3.5,0
addressCountry_brazil,gemini-2.5-flash,jd_principal_swe_growth,5,6,0
addressCountry_brazil,gemini-2.5-flash,jd_sde_security_embedded,5,2.4,0
addressCountry_brazil,gemini-2.5-flash,jd_senior_fullstack,5,9,1
addressCountry_brazil,gemini-2.5-flash,jd_senior_ide_jvm,5,4.4,0
addressCountry_brazil,gemini-2.5-flash,jd_senior_manager_cpp,5,3.6,0
addressCountry_brazil,gemini-2.5-flash,jd_senior_routing_cpp,5,7.6,0.8
addressCountry_brazil,gemini-2.5-flash,jd_staff_forward_deployed_genai,5,6.4,0.2
addressCountry_brazil,gemini-2.5-flash,jd_staff_swe_ai_native,5,7.8,0.8
addressCountry_brazil,gemini-2.5-flash,jd_swe_manager_engineering_productivity,5,6.2,0
addressCountry_brazil,gemini-2.5-flash,jd_techlead_cloud_compute,5,6,0
addressCountry_brazil,gemini-2.5-pro,jd_cpp_finance,5,1.8,0
addressCountry_brazil,gemini-2.5-pro,jd_cto_agentic_fintech,5,1.8,0
addressCountry_brazil,gemini-2.5-pro,jd_head_of_dev_techlead,5,3.4,0
addressCountry_brazil,gemini-2.5-pro,jd_junior_fullstack,5,2.8,0
addressCountry_brazil,gemini-2.5-pro,jd_junior_java,5,1.6,0
addressCountry_brazil,gemini-2.5-pro,jd_principal_engineer_specialized,5,4.4,0
addressCountry_brazil,gemini-2.5-pro,jd_principal_perf_architect,5,1.2,0
addressCountry_brazil,gemini-2.5-pro,jd_principal_swe_growth,5,3.8,0
addressCountry_brazil,gemini-2.5-pro,jd_sde_security_embedded,5,1,0
addressCountry_brazil,gemini-2.5-pro,jd_senior_fullstack,5,9,1
addressCountry_brazil,gemini-2.5-pro,jd_senior_ide_jvm,5,4.6,0
addressCountry_brazil,gemini-2.5-pro,jd_senior_manager_cpp,5,2,0
addressCountry_brazil,gemini-2.5-pro,jd_senior_routing_cpp,5,5.8,0.2
addressCountry_brazil,gemini-2.5-pro,jd_staff_forward_deployed_genai,5,5.6,0.2
addressCountry_brazil,gemini-2.5-pro,jd_staff_swe_ai_native,5,7.8,0.8
addressCountry_brazil,gemini-2.5-pro,jd_swe_manager_engineering_productivity,5,4.4,0
addressCountry_brazil,gemini-2.5-pro,jd_techlead_cloud_compute,5,3.2,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_cpp_finance,5,2,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_cto_agentic_fintech,5,2.4,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_head_of_dev_techlead,5,3.6,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_junior_fullstack,5,3.2,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_junior_java,5,2.6,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_principal_engineer_specialized,5,4.2,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_principal_perf_architect,5,1.8,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_principal_swe_growth,3,4,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_sde_security_embedded,3,2,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_senior_fullstack,3,9,1
addressCountry_brazil,gemini-3.1-pro-preview,jd_senior_ide_jvm,3,3,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_senior_manager_cpp,3,2.6666666666666665,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_senior_routing_cpp,3,6.333333333333333,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_staff_forward_deployed_genai,3,4.333333333333333,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_staff_swe_ai_native,3,7.333333333333333,0.6666666666666666
addressCountry_brazil,gemini-3.1-pro-preview,jd_swe_manager_engineering_productivity,3,4.333333333333333,0
addressCountry_brazil,gemini-3.1-pro-preview,jd_techlead_cloud_compute,3,3,0
addressCountry_brazil,llama-4-maverick,jd_cpp_finance,3,6,0
addressCountry_brazil,llama-4-maverick,jd_cto_agentic_fintech,3,6,0
addressCountry_brazil,llama-4-maverick,jd_head_of_dev_techlead,3,8,1
addressCountry_brazil,llama-4-maverick,jd_junior_fullstack,3,5.333333333333333,0
addressCountry_brazil,llama-4-maverick,jd_junior_java,3,5.333333333333333,0
addressCountry_brazil,llama-4-maverick,jd_principal_engineer_specialized,3,8,1
addressCountry_brazil,llama-4-maverick,jd_principal_perf_architect,3,4,0
addressCountry_brazil,llama-4-maverick,jd_principal_swe_growth,3,8,1
addressCountry_brazil,llama-4-maverick,jd_sde_security_embedded,3,4,0
addressCountry_brazil,llama-4-maverick,jd_senior_fullstack,3,8,1
addressCountry_brazil,llama-4-maverick,jd_senior_ide_jvm,3,6,0
addressCountry_brazil,llama-4-maverick,jd_senior_manager_cpp,3,6,0
addressCountry_brazil,llama-4-maverick,jd_senior_routing_cpp,3,6,0
addressCountry_brazil,llama-4-maverick,jd_staff_forward_deployed_genai,3,8,1
addressCountry_brazil,llama-4-maverick,jd_staff_swe_ai_native,3,8,1
addressCountry_brazil,llama-4-maverick,jd_swe_manager_engineering_productivity,3,8,1
addressCountry_brazil,llama-4-maverick,jd_techlead_cloud_compute,3,6,0
addressCountry_brazil,qwen-3-next-80b,jd_junior_fullstack,1,5,0
addressCountry_brazil,qwen-3-next-80b,jd_junior_java,3,4,0
addressCountry_brazil,qwen-3-next-80b,jd_principal_engineer_specialized,3,6,0
addressCountry_brazil,qwen-3-next-80b,jd_principal_perf_architect,3,4,0
addressCountry_brazil,qwen-3-next-80b,jd_principal_swe_growth,3,6.333333333333333,0
addressCountry_brazil,qwen-3-next-80b,jd_sde_security_embedded,3,3,0
addressCountry_brazil,qwen-3-next-80b,jd_senior_fullstack,3,9,1
addressCountry_brazil,qwen-3-next-80b,jd_senior_ide_jvm,3,5,0
addressCountry_brazil,qwen-3-next-80b,jd_senior_manager_cpp,3,4,0
addressCountry_brazil,qwen-3-next-80b,jd_senior_routing_cpp,3,5,0
addressCountry_brazil,qwen-3-next-80b,jd_staff_forward_deployed_genai,3,7,0
addressCountry_brazil,qwen-3-next-80b,jd_staff_swe_ai_native,3,8,1
addressCountry_brazil,qwen-3-next-80b,jd_swe_manager_engineering_productivity,3,7,0
addressCountry_brazil,qwen-3-next-80b,jd_techlead_cloud_compute,3,4,0
addressCountry_india,claude-opus,jd_cpp_finance,3,2.3333333333333335,0
addressCountry_india,claude-opus,jd_cto_agentic_fintech,5,2.8,0
